Date;Open;High;Low;Close;minutes
2014.05.13 16:30;0.9369;0.9372;0.9369;0.9369;69505
2014.05.13 16:35;0.9369;0.9371;0.9368;0.937;69500
2014.05.13 16:40;0.937;0.9371;0.9368;0.9369;69495
2014.05.13 16:45;0.9369;0.937;0.9365;0.9368;69490
2014.05.13 16:50;0.9368;0.9369;0.9365;0.9366;69485
2014.05.13 16:55;0.9366;0.9366;0.9361;0.9362;69480
2014.05.13 17:00;0.9362;0.9364;0.9359;0.9364;69475
2014.05.13 17:05;0.9364;0.9366;0.9363;0.9366;69470
2014.05.13 17:10;0.9366;0.9367;0.9365;0.9366;69465
2014.05.13 17:15;0.9366;0.9368;0.9365;0.9366;69460
2014.05.13 17:20;0.9366;0.9367;0.9365;0.9365;69455
2014.05.13 17:25;0.9365;0.9366;0.9363;0.9363;69450
2014.05.13 17:30;0.9363;0.9369;0.9363;0.9367;69445
2014.05.13 17:35;0.9367;0.937;0.9367;0.9369;69440
2014.05.13 17:40;0.9369;0.9371;0.9369;0.9369;69435
2014.05.13 17:45;0.9369;0.9371;0.9369;0.937;69430
2014.05.13 17:50;0.937;0.937;0.9367;0.9369;69425
2014.05.13 17:55;0.9369;0.9369;0.9366;0.9368;69420
2014.05.13 18:00;0.9368;0.9369;0.9368;0.9368;69415
2014.05.13 18:05;0.9368;0.9368;0.9366;0.9367;69410
2014.05.13 18:10;0.9367;0.9368;0.9366;0.9367;69405
2014.05.13 18:15;0.9367;0.9367;0.9363;0.9364;69400
2014.05.13 18:20;0.9364;0.9364;0.9363;0.9363;69395
2014.05.13 18:25;0.9363;0.9364;0.9363;0.9363;69390
2014.05.13 18:30;0.9363;0.9363;0.9361;0.9362;69385
2014.05.13 18:35;0.9362;0.9363;0.936;0.9361;69380
2014.05.13 18:40;0.9361;0.9362;0.9361;0.9361;69375
2014.05.13 18:45;0.9361;0.9361;0.9359;0.9361;69370
2014.05.13 18:50;0.9361;0.9362;0.936;0.9362;69365
2014.05.13 18:55;0.9362;0.9363;0.9362;0.9362;69360
2014.05.13 19:00;0.9362;0.9362;0.9359;0.9359;69355
2014.05.13 19:05;0.9359;0.9359;0.9354;0.9355;69350
2014.05.13 19:10;0.9355;0.9355;0.9354;0.9354;69345
2014.05.13 19:15;0.9354;0.9357;0.9354;0.9356;69340
2014.05.13 19:20;0.9356;0.9359;0.9356;0.9357;69335
2014.05.13 19:25;0.9357;0.9357;0.9352;0.9353;69330
2014.05.13 19:30;0.9353;0.9353;0.9347;0.9348;69325
2014.05.13 19:35;0.9348;0.935;0.9348;0.9348;69320
2014.05.13 19:40;0.9348;0.9349;0.9346;0.9349;69315
2014.05.13 19:45;0.9349;0.935;0.9348;0.9349;69310
2014.05.13 19:50;0.9349;0.9352;0.9349;0.9349;69305
2014.05.13 19:55;0.9349;0.9351;0.9348;0.9351;69300
2014.05.13 20:00;0.9351;0.9352;0.9351;0.9351;69295
2014.05.13 20:05;0.9351;0.9352;0.935;0.9351;69290
2014.05.13 20:10;0.9351;0.9353;0.9351;0.9353;69285
2014.05.13 20:15;0.9353;0.9354;0.9353;0.9353;69280
2014.05.13 20:20;0.9353;0.9355;0.9353;0.9353;69275
2014.05.13 20:25;0.9353;0.9359;0.9353;0.9358;69270
2014.05.13 20:30;0.9358;0.9358;0.9355;0.9356;69265
2014.05.13 20:35;0.9356;0.9356;0.9354;0.9354;69260
2014.05.13 20:40;0.9354;0.9357;0.9354;0.9356;69255
2014.05.13 20:45;0.9356;0.9357;0.9356;0.9356;69250
2014.05.13 20:50;0.9356;0.9357;0.9355;0.9356;69245
2014.05.13 20:55;0.9356;0.9358;0.9356;0.9357;69240
2014.05.13 21:00;0.9357;0.9358;0.9355;0.9356;69235
2014.05.13 21:05;0.9356;0.9356;0.9355;0.9355;69230
2014.05.13 21:10;0.9355;0.9355;0.9354;0.9354;69225
2014.05.13 21:15;0.9354;0.9356;0.9354;0.9355;69220
2014.05.13 21:20;0.9355;0.9356;0.9354;0.9355;69215
2014.05.13 21:25;0.9355;0.9356;0.9354;0.9355;69210
2014.05.13 21:30;0.9355;0.9355;0.9354;0.9355;69205
2014.05.13 21:35;0.9355;0.9356;0.9355;0.9356;69200
2014.05.13 21:40;0.9355;0.9356;0.9355;0.9356;69195
2014.05.13 21:45;0.9356;0.9356;0.9355;0.9356;69190
2014.05.13 21:50;0.9356;0.9357;0.9356;0.9356;69185
2014.05.13 21:55;0.9356;0.9356;0.9355;0.9356;69180
2014.05.13 22:00;0.9356;0.9357;0.9354;0.9357;69175
2014.05.13 22:05;0.9357;0.9357;0.9356;0.9357;69170
2014.05.13 22:10;0.9357;0.9357;0.9356;0.9356;69165
2014.05.13 22:15;0.9356;0.9357;0.9356;0.9357;69160
2014.05.13 22:20;0.9357;0.9357;0.9357;0.9357;69155
2014.05.13 22:25;0.9357;0.9358;0.9356;0.9356;69150
2014.05.13 22:30;0.9356;0.9358;0.9356;0.9358;69145
2014.05.13 22:35;0.9358;0.9358;0.9356;0.9356;69140
2014.05.13 22:40;0.9356;0.9357;0.9356;0.9357;69135
2014.05.13 22:45;0.9357;0.9359;0.9357;0.9359;69130
2014.05.13 22:50;0.9359;0.936;0.9358;0.9358;69125
2014.05.13 22:55;0.9358;0.9361;0.9356;0.936;69120
2014.05.13 23:00;0.936;0.9361;0.9355;0.9355;69115
2014.05.13 23:05;0.9355;0.9358;0.9355;0.9356;69110
2014.05.13 23:10;0.9356;0.9357;0.9355;0.9357;69105
2014.05.13 23:15;0.9357;0.9358;0.9355;0.9357;69100
2014.05.13 23:20;0.9357;0.9361;0.9357;0.9359;69095
2014.05.13 23:25;0.9359;0.9359;0.9358;0.9358;69090
2014.05.13 23:30;0.9358;0.936;0.9358;0.9359;69085
2014.05.13 23:35;0.9359;0.9359;0.9357;0.9358;69080
2014.05.13 23:40;0.9358;0.9359;0.9356;0.9356;69075
2014.05.13 23:45;0.9356;0.936;0.9356;0.9359;69070
2014.05.13 23:50;0.9359;0.9361;0.9358;0.9361;69065
2014.05.13 23:55;0.9361;0.9362;0.9359;0.9359;69060
2014.05.14 0:00;0.9359;0.936;0.9357;0.9357;69055
2014.05.14 0:05;0.9357;0.936;0.9357;0.936;69050
2014.05.14 0:10;0.936;0.936;0.9359;0.9359;69045
2014.05.14 0:15;0.9359;0.9359;0.9358;0.9358;69040
2014.05.14 0:20;0.9358;0.9359;0.9358;0.9358;69035
2014.05.14 0:25;0.9358;0.9362;0.9358;0.9361;69030
2014.05.14 0:30;0.9361;0.9361;0.936;0.9361;69025
2014.05.14 0:35;0.9361;0.9363;0.936;0.936;69020
2014.05.14 0:40;0.936;0.936;0.9359;0.936;69015
2014.05.14 0:45;0.9359;0.936;0.9357;0.9359;69010
2014.05.14 0:50;0.9359;0.9362;0.9359;0.9361;69005
2014.05.14 0:55;0.9361;0.9362;0.9361;0.9362;69000
2014.05.14 1:00;0.9362;0.9363;0.9362;0.9362;68995
2014.05.14 1:05;0.9362;0.9362;0.9357;0.9357;68990
2014.05.14 1:10;0.9357;0.9361;0.9357;0.936;68985
2014.05.14 1:15;0.936;0.9364;0.936;0.9363;68980
2014.05.14 1:20;0.9363;0.9363;0.9362;0.9363;68975
2014.05.14 1:25;0.9363;0.9363;0.9363;0.9363;68970
2014.05.14 1:30;0.9363;0.9367;0.9361;0.9366;68965
2014.05.14 1:35;0.9366;0.9368;0.9366;0.9368;68960
2014.05.14 1:40;0.9367;0.9368;0.9367;0.9368;68955
2014.05.14 1:45;0.9368;0.9368;0.9366;0.9366;68950
2014.05.14 1:50;0.9366;0.9366;0.9365;0.9366;68945
2014.05.14 1:55;0.9366;0.9366;0.9362;0.9363;68940
2014.05.14 2:00;0.9363;0.9368;0.9363;0.9368;68935
2014.05.14 2:05;0.9368;0.9369;0.9364;0.9365;68930
2014.05.14 2:10;0.9365;0.9367;0.9365;0.9366;68925
2014.05.14 2:15;0.9366;0.937;0.9366;0.9369;68920
2014.05.14 2:20;0.9369;0.9373;0.9368;0.9373;68915
2014.05.14 2:25;0.9373;0.9374;0.937;0.937;68910
2014.05.14 2:30;0.937;0.9372;0.937;0.9371;68905
2014.05.14 2:35;0.9371;0.9373;0.9371;0.9373;68900
2014.05.14 2:40;0.9373;0.9373;0.9371;0.9371;68895
2014.05.14 2:45;0.9371;0.9372;0.9369;0.9371;68890
2014.05.14 2:50;0.9371;0.9373;0.9371;0.9373;68885
2014.05.14 2:55;0.9373;0.9374;0.9371;0.9373;68880
2014.05.14 3:00;0.9373;0.9376;0.9373;0.9376;68875
2014.05.14 3:05;0.9376;0.9376;0.9374;0.9374;68870
2014.05.14 3:10;0.9374;0.9376;0.9374;0.9374;68865
2014.05.14 3:15;0.9374;0.9375;0.9374;0.9375;68860
2014.05.14 3:20;0.9375;0.9375;0.9374;0.9374;68855
2014.05.14 3:25;0.9374;0.9376;0.9374;0.9375;68850
2014.05.14 3:30;0.9375;0.9377;0.9375;0.9376;68845
2014.05.14 3:35;0.9377;0.9379;0.9376;0.9378;68840
2014.05.14 3:40;0.9378;0.938;0.9378;0.938;68835
2014.05.14 3:45;0.938;0.938;0.9378;0.9379;68830
2014.05.14 3:50;0.9379;0.938;0.9378;0.9379;68825
2014.05.14 3:55;0.9379;0.9379;0.9378;0.9378;68820
2014.05.14 4:00;0.9378;0.9379;0.9378;0.9378;68815
2014.05.14 4:05;0.9378;0.9379;0.9378;0.9378;68810
2014.05.14 4:10;0.9378;0.9378;0.9376;0.9377;68805
2014.05.14 4:15;0.9377;0.9377;0.9377;0.9377;68800
2014.05.14 4:20;0.9377;0.9378;0.9377;0.9377;68795
2014.05.14 4:25;0.9377;0.9378;0.9377;0.9378;68790
2014.05.14 4:30;0.9378;0.938;0.9378;0.938;68785
2014.05.14 4:35;0.938;0.9381;0.9379;0.938;68780
2014.05.14 4:40;0.938;0.938;0.9379;0.9379;68775
2014.05.14 4:45;0.9379;0.9379;0.9379;0.9379;68770
2014.05.14 4:50;0.9379;0.9381;0.9379;0.938;68765
2014.05.14 4:55;0.938;0.9382;0.938;0.9382;68760
2014.05.14 5:00;0.9382;0.9389;0.9382;0.9387;68755
2014.05.14 5:05;0.9387;0.9389;0.9386;0.9388;68750
2014.05.14 5:10;0.9388;0.9398;0.9387;0.9395;68745
2014.05.14 5:15;0.9395;0.9396;0.9393;0.9393;68740
2014.05.14 5:20;0.9393;0.9395;0.9393;0.9393;68735
2014.05.14 5:25;0.9393;0.9394;0.9393;0.9394;68730
2014.05.14 5:30;0.9394;0.9395;0.9392;0.9393;68725
2014.05.14 5:35;0.9393;0.9394;0.9392;0.9393;68720
2014.05.14 5:40;0.9393;0.9394;0.9392;0.9392;68715
2014.05.14 5:45;0.9392;0.9394;0.9391;0.9393;68710
2014.05.14 5:50;0.9393;0.9396;0.9393;0.9396;68705
2014.05.14 5:55;0.9396;0.9396;0.9394;0.9395;68700
2014.05.14 6:00;0.9395;0.9396;0.9393;0.9394;68695
2014.05.14 6:05;0.9394;0.9395;0.9394;0.9395;68690
2014.05.14 6:10;0.9395;0.9398;0.9395;0.9396;68685
2014.05.14 6:15;0.9396;0.9397;0.9396;0.9396;68680
2014.05.14 6:20;0.9396;0.9396;0.9396;0.9396;68675
2014.05.14 6:25;0.9396;0.9398;0.9396;0.9398;68670
2014.05.14 6:30;0.9398;0.9398;0.9395;0.9396;68665
2014.05.14 6:35;0.9396;0.9396;0.9395;0.9395;68660
2014.05.14 6:40;0.9395;0.9396;0.9395;0.9395;68655
2014.05.14 6:45;0.9395;0.9397;0.9395;0.9396;68650
2014.05.14 6:50;0.9396;0.9396;0.9394;0.9394;68645
2014.05.14 6:55;0.9394;0.9398;0.9394;0.9398;68640
2014.05.14 7:00;0.9398;0.94;0.9397;0.9399;68635
2014.05.14 7:05;0.9399;0.9403;0.9398;0.9402;68630
2014.05.14 7:10;0.9402;0.9403;0.9401;0.9403;68625
2014.05.14 7:15;0.9403;0.9406;0.9402;0.9406;68620
2014.05.14 7:20;0.9406;0.9407;0.9405;0.9407;68615
2014.05.14 7:25;0.9407;0.9409;0.9407;0.9409;68610
2014.05.14 7:30;0.9409;0.9409;0.9404;0.9405;68605
2014.05.14 7:35;0.9405;0.9405;0.9401;0.9402;68600
2014.05.14 7:40;0.9402;0.9403;0.9401;0.9403;68595
2014.05.14 7:45;0.9403;0.9406;0.9403;0.9406;68590
2014.05.14 7:50;0.9406;0.9406;0.9403;0.9403;68585
2014.05.14 7:55;0.9403;0.9404;0.9398;0.94;68580
2014.05.14 8:00;0.94;0.9402;0.9398;0.9398;68575
2014.05.14 8:05;0.9398;0.94;0.9397;0.94;68570
2014.05.14 8:10;0.94;0.9403;0.9399;0.94;68565
2014.05.14 8:15;0.94;0.9403;0.94;0.9401;68560
2014.05.14 8:20;0.9401;0.9403;0.9401;0.9402;68555
2014.05.14 8:25;0.9402;0.9404;0.9402;0.9403;68550
2014.05.14 8:30;0.9403;0.9404;0.9402;0.9404;68545
2014.05.14 8:35;0.9404;0.9406;0.9402;0.9404;68540
2014.05.14 8:40;0.9404;0.9406;0.9403;0.9405;68535
2014.05.14 8:45;0.9405;0.9405;0.9402;0.9402;68530
2014.05.14 8:50;0.9402;0.9403;0.9398;0.94;68525
2014.05.14 8:55;0.94;0.94;0.9397;0.9398;68520
2014.05.14 9:00;0.9398;0.9402;0.9397;0.9401;68515
2014.05.14 9:05;0.9401;0.9401;0.9395;0.9397;68510
2014.05.14 9:10;0.9397;0.9398;0.9395;0.9396;68505
2014.05.14 9:15;0.9396;0.9396;0.9393;0.9393;68500
2014.05.14 9:20;0.9393;0.9394;0.9393;0.9393;68495
2014.05.14 9:25;0.9393;0.9396;0.9393;0.9395;68490
2014.05.14 9:30;0.9395;0.9397;0.9394;0.9397;68485
2014.05.14 9:35;0.9397;0.9401;0.9397;0.9399;68480
2014.05.14 9:40;0.9399;0.9402;0.9399;0.94;68475
2014.05.14 9:45;0.94;0.94;0.9395;0.9398;68470
2014.05.14 9:50;0.9398;0.9398;0.9396;0.9397;68465
2014.05.14 9:55;0.9397;0.9397;0.9395;0.9397;68460
2014.05.14 10:00;0.9397;0.9398;0.9396;0.9398;68455
2014.05.14 10:05;0.9398;0.9403;0.9398;0.9402;68450
2014.05.14 10:10;0.9402;0.9405;0.9402;0.9402;68445
2014.05.14 10:15;0.9402;0.9402;0.9397;0.9399;68440
2014.05.14 10:20;0.9399;0.9402;0.9399;0.9401;68435
2014.05.14 10:25;0.9401;0.9402;0.94;0.9402;68430
2014.05.14 10:30;0.9402;0.9407;0.9401;0.9406;68425
2014.05.14 10:35;0.9406;0.9407;0.9405;0.9406;68420
2014.05.14 10:40;0.9406;0.9408;0.9406;0.9408;68415
2014.05.14 10:45;0.9408;0.9409;0.9406;0.9406;68410
2014.05.14 10:50;0.9406;0.9407;0.9405;0.9405;68405
2014.05.14 10:55;0.9405;0.9406;0.9402;0.9404;68400
2014.05.14 11:00;0.9404;0.9405;0.9402;0.9402;68395
2014.05.14 11:05;0.9402;0.9405;0.9398;0.9398;68390
2014.05.14 11:10;0.9398;0.9401;0.9398;0.9398;68385
2014.05.14 11:15;0.9398;0.9399;0.9396;0.9399;68380
2014.05.14 11:20;0.9399;0.9401;0.9398;0.9399;68375
2014.05.14 11:25;0.9399;0.94;0.9398;0.9399;68370
2014.05.14 11:30;0.9399;0.9404;0.9397;0.9403;68365
2014.05.14 11:35;0.9403;0.9404;0.94;0.9401;68360
2014.05.14 11:40;0.9401;0.9401;0.9396;0.9399;68355
2014.05.14 11:45;0.9399;0.9399;0.9397;0.9399;68350
2014.05.14 11:50;0.9399;0.9399;0.9395;0.9395;68345
2014.05.14 11:55;0.9395;0.9396;0.9391;0.9392;68340
2014.05.14 12:00;0.9392;0.9392;0.9387;0.9388;68335
2014.05.14 12:05;0.9388;0.9389;0.9387;0.9388;68330
2014.05.14 12:10;0.9388;0.9389;0.9387;0.9387;68325
2014.05.14 12:15;0.9387;0.9388;0.9386;0.9388;68320
2014.05.14 12:20;0.9388;0.9388;0.9386;0.9386;68315
2014.05.14 12:25;0.9386;0.9387;0.9386;0.9386;68310
2014.05.14 12:30;0.9386;0.9387;0.9385;0.9387;68305
2014.05.14 12:35;0.9387;0.9388;0.9387;0.9388;68300
2014.05.14 12:40;0.9388;0.9392;0.9388;0.939;68295
2014.05.14 12:45;0.939;0.9392;0.9389;0.9391;68290
2014.05.14 12:50;0.9391;0.9395;0.9391;0.9391;68285
2014.05.14 12:55;0.9391;0.9392;0.9389;0.939;68280
2014.05.14 13:00;0.939;0.939;0.9386;0.939;68275
2014.05.14 13:05;0.939;0.9391;0.9388;0.9389;68270
2014.05.14 13:10;0.9389;0.939;0.9385;0.9386;68265
2014.05.14 13:15;0.9386;0.9387;0.9384;0.9386;68260
2014.05.14 13:20;0.9386;0.9386;0.9385;0.9386;68255
2014.05.14 13:25;0.9386;0.9388;0.9385;0.9388;68250
2014.05.14 13:30;0.9388;0.939;0.9387;0.939;68245
2014.05.14 13:35;0.939;0.9391;0.9389;0.9391;68240
2014.05.14 13:40;0.9391;0.9395;0.9391;0.9393;68235
2014.05.14 13:45;0.9393;0.9396;0.9392;0.9395;68230
2014.05.14 13:50;0.9395;0.9399;0.9395;0.9399;68225
2014.05.14 13:55;0.9399;0.9399;0.9395;0.9396;68220
2014.05.14 14:00;0.9396;0.94;0.9396;0.9396;68215
2014.05.14 14:05;0.9396;0.9398;0.9395;0.9396;68210
2014.05.14 14:10;0.9396;0.9399;0.9395;0.9399;68205
2014.05.14 14:15;0.9399;0.9403;0.9399;0.9403;68200
2014.05.14 14:20;0.9403;0.9405;0.9402;0.9405;68195
2014.05.14 14:25;0.9405;0.9408;0.9404;0.9406;68190
2014.05.14 14:30;0.9406;0.9406;0.9402;0.9404;68185
2014.05.14 14:35;0.9404;0.9405;0.9398;0.9398;68180
2014.05.14 14:40;0.9398;0.9401;0.9396;0.9401;68175
2014.05.14 14:45;0.9401;0.9402;0.94;0.94;68170
2014.05.14 14:50;0.94;0.9401;0.9399;0.9401;68165
2014.05.14 14:55;0.9401;0.9401;0.9399;0.9399;68160
2014.05.14 15:00;0.9399;0.94;0.9398;0.9399;68155
2014.05.14 15:05;0.9399;0.9399;0.9397;0.9398;68150
2014.05.14 15:10;0.9398;0.9399;0.9395;0.9396;68145
2014.05.14 15:15;0.9396;0.9396;0.9394;0.9394;68140
2014.05.14 15:20;0.9394;0.9394;0.9391;0.9393;68135
2014.05.14 15:25;0.9393;0.9397;0.9393;0.9396;68130
2014.05.14 15:30;0.9396;0.9399;0.9396;0.9399;68125
2014.05.14 15:35;0.9399;0.9399;0.9398;0.9399;68120
2014.05.14 15:40;0.9399;0.9399;0.9395;0.9397;68115
2014.05.14 15:45;0.9397;0.9399;0.9396;0.9399;68110
2014.05.14 15:50;0.9399;0.9402;0.9398;0.9399;68105
2014.05.14 15:55;0.9399;0.94;0.9398;0.9399;68100
2014.05.14 16:00;0.9399;0.9402;0.9399;0.9399;68095
2014.05.14 16:05;0.9399;0.9399;0.9398;0.9398;68090
2014.05.14 16:10;0.9398;0.94;0.9398;0.9399;68085
2014.05.14 16:15;0.9399;0.94;0.9398;0.9399;68080
2014.05.14 16:20;0.9399;0.9399;0.9397;0.9398;68075
2014.05.14 16:25;0.9398;0.9399;0.9398;0.9398;68070
2014.05.14 16:30;0.9398;0.9398;0.9393;0.9393;68065
2014.05.14 16:35;0.9393;0.9395;0.939;0.9391;68060
2014.05.14 16:40;0.9391;0.9391;0.9386;0.9387;68055
2014.05.14 16:45;0.9387;0.9389;0.9384;0.9385;68050
2014.05.14 16:50;0.9385;0.9386;0.9377;0.938;68045
2014.05.14 16:55;0.938;0.938;0.9371;0.9372;68040
2014.05.14 17:00;0.9372;0.9374;0.9371;0.9373;68035
2014.05.14 17:05;0.9373;0.9373;0.9372;0.9373;68030
2014.05.14 17:10;0.9373;0.9375;0.9373;0.9374;68025
2014.05.14 17:15;0.9374;0.9374;0.9367;0.9369;68020
2014.05.14 17:20;0.9369;0.9373;0.9368;0.9373;68015
2014.05.14 17:25;0.9373;0.9373;0.9372;0.9373;68010
2014.05.14 17:30;0.9373;0.9377;0.9373;0.9376;68005
2014.05.14 17:35;0.9376;0.9379;0.9376;0.9378;68000
2014.05.14 17:40;0.9378;0.9379;0.9377;0.9377;67995
