Date,Open,High,Low,Close,Volume,Adj Close
2010-07-01,36.34,39.66,35.95,37.59,309300,15.62652
2010-06-01,34.3,38.32,34.3,36.2,326500,15.04869
2010-05-03,35.7,37.54,33,34.54,463100,14.16903
2010-04-01,36.17,37.66,34.84,35.31,249400,14.48491
2010-03-01,31.69,36.09,31.52,35.82,195100,14.69412
2010-02-01,29.95,31.56,28.86,31.4,311900,12.70759
2010-01-04,31.58,32.04,29.51,29.87,316400,12.0884
2009-12-01,31.03,32.39,28.75,31.15,229000,12.60642
2009-11-02,29.55,31.74,29.04,30.63,225300,12.2205
2009-10-01,31.06,31.32,28.59,29.55,281400,11.78961
2009-09-01,29.66,32.05,28.25,31.09,238200,12.40403
2009-08-03,27.76,30.39,27.52,29.57,225800,11.62905
2009-07-01,26.05,28.57,24.69,27.42,213300,10.78352
2009-06-01,28.76,29.29,25.11,25.8,251300,10.14642
2009-05-01,23.14,28.48,23,28.42,321100,11.00663
2009-04-01,26.24,28.2,23,23.25,549200,9.00437
2009-03-02,24.7,27.64,22.46,26.36,523500,10.20883
2009-02-02,26.31,27.14,23.53,25.35,461800,9.66384
2009-01-02,28.29,29.74,25.08,26.76,522700,10.20135
2008-12-01,29.13,29.55,24.19,28.42,678400,10.83417
2008-11-03,32.99,35.48,24.48,28.76,495300,10.81343
2008-10-01,35.03,37.32,26.83,32.6,547100,12.25723
2008-09-02,38.85,39.12,33.26,35.56,326100,13.37016
2008-08-01,35.55,39.01,34.35,38.79,199300,14.41853
2008-07-01,40.07,41.02,34.52,35.23,266400,13.09525
2008-06-02,46.16,46.4,39.83,40.33,161800,14.99096
2008-05-01,44.05,47.89,43.2,46.66,180400,17.16858
2008-04-01,42.82,45.34,42.54,44.35,137100,16.31861
2008-03-03,44.59,45.18,39.24,41.85,318200,15.39873
2008-02-01,42.33,47.44,39.53,44.7,167200,16.27488
2008-01-02,48.87,48.87,38.41,42.02,239000,15.29911
2007-12-03,45.2,49.2,39.67,48.26,330800,17.57104
2007-11-01,58.5,58.5,44.43,45.19,184400,16.30621
2007-10-01,56.42,58.64,52.55,58.63,159000,21.15586
2007-09-04,51.79,56.82,50.65,56.15,152900,20.26098
2007-08-01,54.4,56.18,46.85,51.92,227400,18.6055
2007-07-02,59.92,62.46,54.24,54.7,225900,19.60171
2007-06-01,60.54,61.85,56.45,58.92,148600,21.11394
2007-05-01,54.54,61.05,53.29,60.17,143500,21.4371
2007-04-02,50,56.87,49.6,54.25,196700,19.32795
2007-03-01,46.25,51.16,45.76,50,112100,17.81378
2007-02-01,46.32,49.47,46.07,47.34,148900,16.75367
2007-01-03,44.92,47.11,44.23,46.2,150000,16.35022
2006-12-01,48.09,48.98,44.26,44.67,168600,15.80875
2006-11-01,52.5,52.51,47.11,48.04,303700,16.88722
2006-10-02,56,58,52.94,57.36,121500,20.16343
2006-09-01,47.79,57.54,45.08,55.97,211800,19.67481
2006-08-01,42.12,48.02,41.83,47.54,103600,16.63567
2006-07-03,40.28,42.08,37.87,42.02,81900,14.70405
2006-06-01,39.5,41.9,38.28,40.38,211000,14.13017
2006-05-01,41.54,43.58,37.69,40.45,134800,14.06775
2006-04-03,38.05,41.48,37.96,41.33,131300,14.3738
2006-03-01,38.76,41.22,38.5,38.7,140100,13.45913
2006-02-01,39.21,39.21,36.39,38.86,180000,13.43342
2006-01-03,40.46,41.69,37.04,39.33,127000,13.59589
2005-12-01,38.3,40.9,36.77,40.26,245000,13.91738
2005-11-01,37.57,39.6,36.33,38.3,182800,13.15557
2005-10-03,40.63,40.78,36.57,37.7,219000,12.94948
2005-09-01,36.85,41.46,36.85,40.74,164900,13.99368
2005-08-01,35.15,37.54,34.86,36.95,160300,12.62482
2005-07-01,34.26,35.47,33.27,34.9,165400,11.92439
2005-06-01,32.11,35.2,31.91,34.01,189600,11.6203
2005-05-02,29.94,32.69,29,32.05,199500,10.88361
2005-04-01,31.06,31.06,28.47,29.92,228100,10.1603
2005-03-01,29.91,32.3,29.91,30.81,241300,10.46252
2005-02-01,27.96,29.98,27.15,29.81,109000,10.12294
2005-01-03,29.15,29.36,27.59,28,83400,9.5083
2004-12-01,24,29.43,24,28.9,603100,9.81392
2004-11-01,23.13,26.7,22.8,25.4,168000,8.56113
2004-10-01,19.18,23.1,19.18,22.89,104100,7.71513
2004-09-01,18.72,19.63,18.5,19.23,34800,6.48152
2004-08-02,17.47,19.24,16.97,18.76,19500,6.27414
2004-07-01,15.1,17.65,14.61,17.39,29800,5.81595
2004-06-01,15.76,15.81,14.22,15.03,23600,5.02667
2004-05-03,15.56,17.15,14.92,15.86,22500,5.25374
2004-04-01,16.89,17.3,15.33,15.73,55800,5.21068
2004-03-01,17.7,18.7,16.25,16.79,60000,5.56181
2004-02-02,17.88,19.4,17,17.61,42700,5.78486
2004-01-02,18.65,20.76,17.41,17.82,50200,5.85384
2003-12-01,17.92,18.76,17.62,18.61,37100,6.11335
2003-11-03,17.72,17.97,16.86,17.95,37200,5.84881
2003-10-01,15.65,17.81,15.65,17.47,41000,5.69241
2003-09-02,16.9,17.55,15.66,15.78,23400,5.14174
2003-08-01,16.84,17.72,15.8,17,23300,5.4914
2003-07-01,16.55,17.54,14.9,16.93,26600,5.46879
2003-06-02,14.6,16.8,14.3,16.5,37900,5.32989
2003-05-01,13.46,14.73,12.9,14.5,30400,4.6547
2003-04-01,10.63,13.6,10.39,13.41,30900,4.30479
2003-03-03,10.8,11.08,9.37,10.63,43900,3.41237
2003-02-03,10.79,11.47,9.45,10.8,47800,3.41546
2003-01-02,10.3,12.04,10.28,10.89,47000,3.44392
2002-12-02,9.47,10.7,9.47,10.3,46100,3.25733
2002-11-01,6.98,9.72,6.98,9.49,44000,2.95789
2002-10-01,6.8,7.24,5.58,6.93,30400,2.15998
2002-09-03,6.39,7.07,5.99,6.89,30700,2.14751
2002-08-01,4.74,6.69,4.4,6.49,35900,1.97498
2002-07-01,6.7,7.3,3.5,4.8,63600,1.46069
2002-06-03,9.3,9.62,6.1,6.8,69000,2.06931
2002-05-01,9.56,9.59,7.65,9.25,125100,2.77033
2002-04-01,10.5,10.95,8.94,9.46,55600,2.83323
2002-03-01,10.93,12.05,10.4,10.6,39700,3.17465
2002-02-01,13.4,14.01,10.84,10.87,43400,3.2116
2002-01-02,14.48,14.6,12.96,13.5,38900,3.98865
2001-12-03,15.55,16.46,13.7,14.45,58100,4.26933
2001-11-01,14.31,15.93,14.05,15.77,66600,4.61447
2001-10-01,11.3,14.7,11,14.38,89800,4.20775
2001-09-04,14.15,14.33,10.65,11.3,50800,3.3065
2001-08-01,16.56,16.95,13.73,14.03,52600,4.00233
2001-07-02,21.02,21.79,15.79,16.54,65200,4.71836
2001-06-01,21.25,21.95,18.79,21,29700,5.99066
2001-05-01,20.39,22.02,19.86,21.22,49400,5.95632
2001-04-02,20.07,21.6,19.86,20.48,45700,5.74861
2001-03-01,22.56,24.21,19.44,20.17,38900,5.66159
2001-02-01,26.25,26.8,22.22,22.8,39100,6.30668
2001-01-02,26,26.4,24.4375,26.21,82600,7.24991
2000-12-01,23.625,26.3125,23.25,25.9375,352300,7.17454
2000-11-01,25.375,25.5,23.3125,23.625,305800,6.43781
2000-10-02,26.625,26.8125,23.125,25.375,220500,6.91469
2000-09-01,27,27.375,25.875,26.625,60900,7.25531
2000-08-01,30,35.25,23,26.625,49700,7.25531
2000-07-03,28.5,31.25,27.125,30.875,11500,8.41343
2000-06-01,24.875,28.75,24.625,28.5,5300,7.76625
2000-05-01,26.5,27.875,23.75,23.75,3000,6.47187
2000-04-03,29.5,29.5,26.25,26.5,600,7.22125
2000-03-01,27,27,26.625,26.625,0,7.25531
2000-02-01,23.625,26.5,23.625,26.5,400,7.22125
2000-01-03,23.5,25.375,23.5,23.625,0,6.43781
1999-12-01,19.875,23.5,19.875,23.5,500,6.40375
1999-11-01,19.5,19.875,19.5,19.875,600,5.41594
1999-10-01,22,22,19.5,19.5,100,5.31375
1999-09-01,21.25,22,21.25,22,0,5.995
1999-08-02,22.375,22.375,20.375,21.25,0,5.79062
1999-07-01,23.5,24.375,22.375,22.375,0,6.09719
1999-06-01,23.25,23.875,23.25,23.5,400,6.40375
1999-05-03,25.875,25.875,23.25,23.25,2100,6.33562
1999-04-01,33.125,33.125,25.875,25.875,0,7.05094
1999-03-01,33.125,33.125,33.125,33.125,0,9.02656
1999-02-01,33.125,33.125,33.125,33.125,0,9.02656
1999-01-04,21.875,33.5,21.75,33.125,23100,9.02656
1998-12-01,21.875,21.875,21.875,21.875,0,5.96094
1998-11-02,20,21.875,20,21.875,200,5.96094
1998-10-01,21.75,21.75,19.125,20,1000,5.45
1998-09-01,21.75,21.75,21.75,21.75,0,5.92687
1998-08-03,24.875,24.875,21.75,21.75,0,5.92687
1998-07-01,26,26,24.875,24.875,0,6.77844
1998-06-01,26,26,26,26,400,7.085
1998-05-01,25.375,26.375,25.375,26.375,400,7.18719
1998-04-01,28.75,28.875,25.375,25.375,4700,6.91469
1998-03-02,22.125,30.375,22.125,30.375,100,8.27719
1998-02-02,22.125,22.125,22.125,22.125,0,6.02906
1998-01-02,23.25,23.25,22.125,22.125,100,6.02906
1997-12-01,21.75,23.25,21.75,23.25,0,6.33562
1997-11-03,20.125,21.75,20.125,21.75,0,5.92687
1997-10-01,21,21,20.125,20.125,4200,5.48406
1997-09-02,19.875,20.625,19.875,20.625,9800,5.62031
1997-08-01,18.75,19.875,18.75,19.875,15200,5.41594
1997-07-01,18,18.75,18,18.75,0,5.10937
1997-06-02,14,18.25,14,18,200,4.905
1997-05-01,14,14,14,14,0,3.815
1997-04-01,15.75,15.75,14,14,0,3.815
1997-03-03,15.75,15.75,15.75,15.75,0,4.29187
1997-02-03,14.875,15.75,14.875,15.75,13600,4.29187
1997-01-02,15,15,14.875,14.875,0,4.05344
1996-12-02,13.75,15,13.75,15,0,4.0875
1996-11-01,13.75,13.75,13.75,13.75,0,3.74687
1996-10-01,13.75,13.75,13.75,13.75,0,3.74687
1996-09-03,13.75,13.75,13.75,13.75,0,3.74687
1996-08-01,13.375,13.75,13.375,13.75,100,3.74687
1996-07-01,13.375,13.375,13.375,13.375,0,3.64469
1996-06-11,13.375,13.375,13.375,13.375,1100,3.64469
