Date,CAD,EUR,JPY,KRW,MXN,NOK,PLN,CHF,GBP,USD,,
29-Feb-2016,0.535346,0.788235,0.00638402,0.000586003,0.0399927,0.0829341,0.181282,0.722575,1.00296,0.723948,,
26-Feb-2016,0.531631,0.792653,0.00638193,0.00058264,,0.0832227,0.182122,0.726448,1.00554,0.720201,,
25-Feb-2016,0.53025,0.793739,0.00642003,0.00058294,0.0396199,0.0831895,0.181291,0.726278,1.00421,0.719814,,
24-Feb-2016,0.524143,0.792318,0.006444,0.000586566,0.0394512,0.0826557,0.181277,0.725671,1.00171,0.721535,,
23-Feb-2016,0.521786,0.791756,0.00641397,,0.0395523,0.0837042,0.181404,0.723336,1.01542,0.719647,,
22-Feb-2016,0.525612,0.7931,0.00637,0.000582948,,0.0835463,0.182605,0.721537,1.0158,0.7193,,
19-Feb-2016,0.519242,0.795146,0.00634726,0.00058465,0.0392098,0.0833854,0.181277,0.721149,1.02389,0.716606,,
18-Feb-2016,0.522361,0.794425,0.00628822,0.000585182,0.0395026,0.0834174,0.181838,0.720695,1.02994,0.716731,,
17-Feb-2016,0.523351,0.797509,0.00629309,0.000588652,0.0389436,0.0831133,0.181622,0.723169,1.02489,0.716154,,
16-Feb-2016,0.516058,0.798656,0.0062397,0.00059117,0.0380157,0.083151,0.181519,0.724458,1.03147,0.715257,,
12-Feb-2016,0.51415,0.802021,0.00633135,0.000594258,0.0373612,0.0828763,0.182046,0.729791,1.03384,0.711327,,
11-Feb-2016,0.509719,0.80568,,0.000594124,0.0370286,0.0829871,0.181044,0.731922,1.02395,0.710038,,
10-Feb-2016,0.510388,0.802523,0.00621272,,0.0379028,0.0834271,0.18102,0.732091,1.035,0.71291,,
9-Feb-2016,0.516987,0.802785,0.00619667,,0.0380409,0.0830139,0.179647,0.728834,1.03049,0.714476,,
8-Feb-2016,0.515207,0.796185,0.00611805,,0.0383624,0.0830355,0.18146,0.720172,1.03416,0.717219,,
5-Feb-2016,0.51536,0.80107,0.00612149,0.00059459,0.0389181,0.0837369,0.181409,0.721171,1.03899,0.715113,,
4-Feb-2016,0.521361,0.801924,0.00606201,0.000588165,0.0393433,0.0840808,0.181206,0.714905,1.04459,0.71562,,
3-Feb-2016,0.521753,0.789821,0.00604029,0.000600465,0.0391477,0.0830185,0.179149,0.710762,1.04744,0.722419,,
2-Feb-2016,0.515272,0.789926,0.00599869,0.000600616,0.0391257,0.082955,0.179367,0.707661,1.04349,0.723442,,
1-Feb-2016,0.518194,0.789942,0.00598337,0.00060171,,0.0838939,0.178597,0.710507,1.03584,0.725783,,
29-Jan-2016,0.514472,0.79102,0.00598659,0.000599451,0.0398152,0.0834017,0.177879,0.710313,1.03615,0.724377,,
28-Jan-2016,0.514017,0.788697,0.00610444,0.000602311,0.0395491,0.0834912,0.176986,0.713459,1.03493,0.723376,,
27-Jan-2016,0.515594,0.788343,0.00612199,0.00060267,0.0392374,0.0834157,0.175979,0.712926,1.03597,0.724048,,
26-Jan-2016,0.516042,0.786396,0.00614236,0.00060755,0.0392853,0.082902,0.174963,0.71409,1.03297,0.725658,,
25-Jan-2016,0.509263,0.784954,0.00611974,0.000603226,0.039158,0.0829895,0.175543,0.715427,1.03318,0.725801,,
22-Jan-2016,0.512371,0.783641,0.00615497,0.000599269,0.0393453,0.0827633,0.176709,0.716317,1.03625,0.725056,,
21-Jan-2016,0.508173,0.788426,0.00617306,0.000597384,0.0391061,0.0812536,0.175239,0.719832,1.02192,0.723791,,
